mode,cpu_type,block_size,data_type,compute_latency,simTicks,simInsts,simSeconds
accel,timing,16,float,500,20820914000,275748,0.020821
cpu,timing,16,float,-,158100009000,1697123,0.158100
accel,timing,32,float,500,17512680000,191822,0.017513
cpu,timing,32,float,-,158100009000,1697123,0.158100
accel,timing,64,float,500,9736855000,115901,0.009737
cpu,timing,64,float,-,158100009000,1697123,0.158100
accel,o3,64,float,500,657462000,118173,0.000657
cpu,o3,64,float,-,27615351000,1697123,0.027615
accel,timing,64,float,100,9736665000,115897,0.009737
accel,timing,64,float,500,9736855000,115901,0.009737
accel,timing,64,float,2000,9738928000,115913,0.009739
accel,timing,64,float,10000,9747016000,115987,0.009747
accel,timing,32,float,500,17512680000,191822,0.017513
cpu,timing,32,float,-,158100009000,1697123,0.158100
accel,timing,32,int,500,15058495000,183212,0.015058
cpu,timing,32,int,-,156616041000,1950923,0.156616
accel,timing,32,double,500,18821875000,241749,0.018822
cpu,timing,32,double,-,157636601000,1713486,0.157637
