mode,cpu_type,matrix_n,block_size,data_type,compute_latency,cache,simTicks,simInsts,simSeconds
cpu,timing,128,64,float,500,no,1222161313000,13065023,1.222161
accel,timing,128,64,float,500,no,64409321000,741539,0.064409
cpu,timing,128,64,float,500,yes,27992433000,13065023,0.027992
accel,timing,128,64,float,500,yes,1526772000,742067,0.001527
cpu,o3,128,64,float,500,no,217724563000,13065023,0.217725
accel,o3,128,64,float,500,no,3226021000,741899,0.003226
cpu,o3,128,64,float,500,yes,11021305000,13065023,0.011021
accel,o3,128,64,float,500,yes,381167000,742051,0.000381
cpu,timing,256,64,float,500,no,9703637986000,102573759,9.703638
accel,timing,256,64,float,500,no,385188022000,4362272,0.385188
cpu,timing,256,64,float,500,yes,345645699000,102573759,0.345646
accel,timing,256,64,float,500,yes,10063118000,4366566,0.010063
cpu,o3,256,64,float,500,no,1791216020000,102573759,1.791216
accel,o3,256,64,float,500,no,32318145000,4365252,0.032318
cpu,o3,256,64,float,500,yes,94185958000,102573759,0.094186
accel,o3,256,64,float,500,yes,3156148000,4366342,0.003156
cpu,timing,512,64,float,500,no,91030280950000,947145152,91.030281
accel,timing,512,64,float,500,no,2218066314000,29049760,2.218066
cpu,timing,512,64,float,500,yes,6821567157000,947145152,6.821567
accel,timing,512,64,float,500,yes,66572198000,29086658,0.066572
cpu,o3,512,64,float,500,no,14089788220000,947145152,14.089788
accel,o3,512,64,float,500,no,186192705000,29075680,0.186193
cpu,o3,512,64,float,500,yes,872129069000,947145152,0.872129
accel,o3,512,64,float,500,yes,27488892000,29084948,0.027489
